algorithm,playlist,time
NOOP,1047946,8304
NOOP,1002521,9092
m-ACO,1007664,3286445
NSGA-II,1002870,3274389
NOOP,1002534,5077
SMS-EMOA,1039987,3682633
SMS-EMOA,1009850,5053831
m-ACO,1006303,401764
NSGA-II,1001014,1082847
NSGA-II,1000557,1181342
m-ACO,1024720,337054
NSGA-II,1030321,4388371
m-ACO,1011674,490777
NOOP,1006612,4687
SMS-EMOA,1003999,3235234
NOOP,1006607,8563
SMS-EMOA,1004341,6021951
m-ACO,1010313,10784275
m-ACO,1032730,419022
NSGA-II,1011246,2736105
m-ACO,1001267,5637586
SMS-EMOA,1013524,4891279
SMS-EMOA,1012067,4741487
NOOP,1000028,3552
NSGA-II,1004904,2573617
m-ACO,1000670,8278465
NSGA-II,1029190,4861199
m-ACO,1011704,589446
NSGA-II,1018504,1977212
NSGA-II,1006423,4521533
NSGA-II,1007160,2836899
NOOP,1005812,5284
m-ACO,1010263,9297487
NSGA-II,1036255,6160466
SMS-EMOA,1033100,3508790
SMS-EMOA,1006728,4813256
SMS-EMOA,1003776,3083941
m-ACO,1024650,419444
NSGA-II,1008756,4004551
SMS-EMOA,1006089,5440647
SMS-EMOA,1002594,3930789
SMS-EMOA,1003282,4669501
m-ACO,1023773,407302
NSGA-II,1008503,3965980
m-ACO,1032607,457612
m-ACO,1001350,4527573
SMS-EMOA,1002060,1721050
NSGA-II,1012698,3004844
NOOP,1001291,4600
m-ACO,1000637,8245851
NOOP,1033614,8815
m-ACO,1006234,395094
NSGA-II,1006676,3495818
NOOP,1020175,8557
NOOP,1000998,3210
NSGA-II,1003628,2195014
NSGA-II,1035864,7886513
NOOP,1002769,6661
m-ACO,1006658,417376
NSGA-II,1003189,3276870
SMS-EMOA,1013771,4851297
NOOP,1001969,3697
m-ACO,1006344,420858
NOOP,1003798,3745
SMS-EMOA,1004114,3132154
SMS-EMOA,1000409,1169330
NSGA-II,1012877,2684915
m-ACO,1006728,423286
NOOP,1031308,8408
