algorithm,playlist,hv
NOOP,1045493,0.28611832607512755
NOOP,1020191,0.2721051648897804
NOOP,1016921,0.20945707524687768
NOOP,1003618,0.3461223381384868
NOOP,1003619,0.20473705157278618
NOOP,1004945,0.3293688047584808
NOOP,1003614,0.12297565378437897
NOOP,1004947,0.03795458421815402
NOOP,1003617,0.03247417711628021
NOOP,1004942,0.17686690949932635
NOOP,1003611,0.10838807070658939
NOOP,1004943,0.13764128261666608
NOOP,1003612,0.21034970467795983
NOOP,1019195,0.2612279322716821
NOOP,1004944,0.24335943390862438
NOOP,1003613,0.20666655921692595
NOOP,1004940,0.07329434381063801
NOOP,1004938,0.2550931132376296
NOOP,1004939,0.18681224208483405
NOOP,1003608,0.19180332321036336
NOOP,1003609,0.26814282305357995
NOOP,1004935,0.22315797746242716
NOOP,1003604,0.1586632069439528
NOOP,1004936,0.3517001316296027
NOOP,1004937,0.08560674619654329
NOOP,1003606,0.0813309393143819
NOOP,1003600,0.11391438798891573
NOOP,1004932,0.13429227673428754
NOOP,1003601,0.16516840083846981
NOOP,1004933,0.04756457669169554
NOOP,1007196,0.12927398406225551
NOOP,1032198,0.10869963729760208
NOOP,1007192,0.216188596629203
NOOP,1044181,0.16434258848923414
NOOP,1007191,0.2719253257511578
NOOP,1007194,0.1794546722242345
NOOP,1007190,0.2772718941037503
NOOP,1004927,0.08368263048033893
NOOP,1004928,0.010854657742842385
NOOP,1004929,0.1774008393574742
NOOP,1004923,0.15556139178910633
NOOP,1004924,0.22757772196588416
NOOP,1004925,0.10183055818666223
NOOP,1004926,0.21424418088674665
NOOP,1004920,0.21495230996351009
NOOP,1004922,0.12148673381224953
NOOP,1028934,0.2686182943004993
NOOP,1028935,0.31679757964117433
NOOP,1028933,0.21446848533934235
NOOP,1007188,0.14843660107748527
NOOP,1007186,0.16501715396617572
NOOP,1007180,0.07007140378737425
NOOP,1007182,0.16810458586709787
NOOP,1004909,0.012274657402174463
NOOP,1004916,0.12507355214641647
NOOP,1004912,0.22375905241139785
NOOP,1019164,0.6369875678493659
NOOP,1044175,0.015592447190681829
NOOP,1004913,0.0322327486418642
NOOP,1004914,0.20734473011657242
NOOP,1004911,0.38842177484601387
NOOP,1028943,0.23151420503290535
NOOP,1039607,0.2628928799951375
NOOP,1007177,0.152867860694455
NOOP,1007174,0.07689651680309333
NOOP,1004905,0.30996636672933703
NOOP,1004907,0.1696599703384316
NOOP,1004908,0.001986464551959553
NOOP,1004902,0.12195447911286224
NOOP,1004903,0.14422956557300196
NOOP,1004904,0.21174751953640256
NOOP,1028953,0.33327838914129393
NOOP,1040602,0.23037341927639657
NOOP,1027624,0.2164175285712034
NOOP,1007166,0.1611536412549559
NOOP,1007169,0.13327499095127138
NOOP,1008497,0.16054579470584987
NOOP,1041914,0.17937326389452884
NOOP,1008498,0.0904570264249133
NOOP,1007168,0.10172603516361989
NOOP,1008495,0.1370987938729914
NOOP,1007162,0.2355558272365534
NOOP,1008491,0.3678730001523235
NOOP,1007161,0.29055201151074483
NOOP,1008490,0.13423380699633983
NOOP,1007160,0.1323660134975018
NOOP,1027634,0.2735264461547542
NOOP,1026305,0.13549545649856357
NOOP,1008488,0.17355577305670467
NOOP,1007155,0.1578348661143282
NOOP,1008489,0.2704619875419925
NOOP,1041947,0.21615112807212478
NOOP,1007158,0.13138467760411154
NOOP,1007157,0.1244869384140262
NOOP,1008487,0.31573177207220543
NOOP,1007154,0.1227640930731356
NOOP,1007150,0.19272656609085537
NOOP,1041951,0.20011745689176427
NOOP,1040620,0.1907589815498187
NOOP,1028979,0.32428161225453184
NOOP,1026314,0.261087126248576
NOOP,1008477,0.11067352305424576
NOOP,1010797,0.08817059244016565
