Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
NOOP__50,MPC_1045493,HV,0,0.28611832607512755
NOOP__50,MPC_1020191,HV,0,0.2721051648897804
NOOP__50,MPC_1016921,HV,0,0.20945707524687768
NOOP__50,MPC_1003618,HV,0,0.3461223381384868
NOOP__50,MPC_1003619,HV,0,0.20473705157278618
NOOP__50,MPC_1004945,HV,0,0.3293688047584808
NOOP__50,MPC_1003614,HV,0,0.12297565378437897
NOOP__50,MPC_1004947,HV,0,0.03795458421815402
NOOP__50,MPC_1003617,HV,0,0.03247417711628021
NOOP__50,MPC_1004942,HV,0,0.17686690949932635
NOOP__50,MPC_1003611,HV,0,0.10838807070658939
NOOP__50,MPC_1004943,HV,0,0.13764128261666608
NOOP__50,MPC_1003612,HV,0,0.21034970467795983
NOOP__50,MPC_1019195,HV,0,0.2612279322716821
NOOP__50,MPC_1004944,HV,0,0.24335943390862438
NOOP__50,MPC_1003613,HV,0,0.20666655921692595
NOOP__50,MPC_1004940,HV,0,0.07329434381063801
NOOP__50,MPC_1004938,HV,0,0.2550931132376296
NOOP__50,MPC_1004939,HV,0,0.18681224208483405
NOOP__50,MPC_1003608,HV,0,0.19180332321036336
NOOP__50,MPC_1003609,HV,0,0.26814282305357995
NOOP__50,MPC_1004935,HV,0,0.22315797746242716
NOOP__50,MPC_1003604,HV,0,0.1586632069439528
NOOP__50,MPC_1004936,HV,0,0.3517001316296027
NOOP__50,MPC_1004937,HV,0,0.08560674619654329
NOOP__50,MPC_1003606,HV,0,0.0813309393143819
NOOP__50,MPC_1003600,HV,0,0.11391438798891573
NOOP__50,MPC_1004932,HV,0,0.13429227673428754
NOOP__50,MPC_1003601,HV,0,0.16516840083846981
NOOP__50,MPC_1004933,HV,0,0.04756457669169554
NOOP__50,MPC_1007196,HV,0,0.12927398406225551
NOOP__50,MPC_1032198,HV,0,0.10869963729760208
NOOP__50,MPC_1007192,HV,0,0.216188596629203
NOOP__50,MPC_1044181,HV,0,0.16434258848923414
NOOP__50,MPC_1007191,HV,0,0.2719253257511578
NOOP__50,MPC_1007194,HV,0,0.1794546722242345
NOOP__50,MPC_1007190,HV,0,0.2772718941037503
NOOP__50,MPC_1004927,HV,0,0.08368263048033893
NOOP__50,MPC_1004928,HV,0,0.010854657742842385
NOOP__50,MPC_1004929,HV,0,0.1774008393574742
NOOP__50,MPC_1004923,HV,0,0.15556139178910633
NOOP__50,MPC_1004924,HV,0,0.22757772196588416
NOOP__50,MPC_1004925,HV,0,0.10183055818666223
NOOP__50,MPC_1004926,HV,0,0.21424418088674665
NOOP__50,MPC_1004920,HV,0,0.21495230996351009
NOOP__50,MPC_1004922,HV,0,0.12148673381224953
NOOP__50,MPC_1028934,HV,0,0.2686182943004993
NOOP__50,MPC_1028935,HV,0,0.31679757964117433
NOOP__50,MPC_1028933,HV,0,0.21446848533934235
NOOP__50,MPC_1007188,HV,0,0.14843660107748527
NOOP__50,MPC_1007186,HV,0,0.16501715396617572
NOOP__50,MPC_1007180,HV,0,0.07007140378737425
NOOP__50,MPC_1007182,HV,0,0.16810458586709787
NOOP__50,MPC_1004909,HV,0,0.012274657402174463
NOOP__50,MPC_1004916,HV,0,0.12507355214641647
NOOP__50,MPC_1004912,HV,0,0.22375905241139785
NOOP__50,MPC_1019164,HV,0,0.6369875678493659
NOOP__50,MPC_1044175,HV,0,0.015592447190681829
NOOP__50,MPC_1004913,HV,0,0.0322327486418642
NOOP__50,MPC_1004914,HV,0,0.20734473011657242
NOOP__50,MPC_1004911,HV,0,0.38842177484601387
NOOP__50,MPC_1028943,HV,0,0.23151420503290535
NOOP__50,MPC_1039607,HV,0,0.2628928799951375
NOOP__50,MPC_1007177,HV,0,0.152867860694455
NOOP__50,MPC_1007174,HV,0,0.07689651680309333
NOOP__50,MPC_1004905,HV,0,0.30996636672933703
NOOP__50,MPC_1004907,HV,0,0.1696599703384316
NOOP__50,MPC_1004908,HV,0,0.001986464551959553
NOOP__50,MPC_1004902,HV,0,0.12195447911286224
NOOP__50,MPC_1004903,HV,0,0.14422956557300196
NOOP__50,MPC_1004904,HV,0,0.21174751953640256
NOOP__50,MPC_1028953,HV,0,0.33327838914129393
NOOP__50,MPC_1040602,HV,0,0.23037341927639657
NOOP__50,MPC_1027624,HV,0,0.2164175285712034
NOOP__50,MPC_1007166,HV,0,0.1611536412549559
NOOP__50,MPC_1007169,HV,0,0.13327499095127138
NOOP__50,MPC_1008497,HV,0,0.16054579470584987
NOOP__50,MPC_1041914,HV,0,0.17937326389452884
NOOP__50,MPC_1008498,HV,0,0.0904570264249133
NOOP__50,MPC_1007168,HV,0,0.10172603516361989
NOOP__50,MPC_1008495,HV,0,0.1370987938729914
NOOP__50,MPC_1007162,HV,0,0.2355558272365534
NOOP__50,MPC_1008491,HV,0,0.3678730001523235
NOOP__50,MPC_1007161,HV,0,0.29055201151074483
NOOP__50,MPC_1008490,HV,0,0.13423380699633983
NOOP__50,MPC_1007160,HV,0,0.1323660134975018
NOOP__50,MPC_1027634,HV,0,0.2735264461547542
NOOP__50,MPC_1026305,HV,0,0.13549545649856357
NOOP__50,MPC_1008488,HV,0,0.17355577305670467
NOOP__50,MPC_1007155,HV,0,0.1578348661143282
NOOP__50,MPC_1008489,HV,0,0.2704619875419925
NOOP__50,MPC_1041947,HV,0,0.21615112807212478
NOOP__50,MPC_1007158,HV,0,0.13138467760411154
NOOP__50,MPC_1007157,HV,0,0.1244869384140262
NOOP__50,MPC_1008487,HV,0,0.31573177207220543
NOOP__50,MPC_1007154,HV,0,0.1227640930731356
NOOP__50,MPC_1007150,HV,0,0.19272656609085537
NOOP__50,MPC_1041951,HV,0,0.20011745689176427
NOOP__50,MPC_1040620,HV,0,0.1907589815498187
NOOP__50,MPC_1028979,HV,0,0.32428161225453184
NOOP__50,MPC_1026314,HV,0,0.261087126248576
NOOP__50,MPC_1008477,HV,0,0.11067352305424576
NOOP__50,MPC_1010797,HV,0,0.08817059244016565
NOOP__50,MPC_1007144,HV,0,0.2897593038045412
NOOP__50,MPC_1010798,HV,0,0.0
NOOP__50,MPC_1007147,HV,0,0.32750346175190276
NOOP__50,MPC_1010799,HV,0,0.31041956214388866
NOOP__50,MPC_1007146,HV,0,0.13052867114960587
NOOP__50,MPC_1008473,HV,0,0.01678035908261982
NOOP__50,MPC_1008474,HV,0,0.06745861419835954
NOOP__50,MPC_1008472,HV,0,0.4217230752552456
NOOP__50,MPC_1010791,HV,0,0.13284410770303476
NOOP__50,MPC_1039635,HV,0,0.138857881208125
NOOP__50,MPC_1039638,HV,0,0.1129722894762574
NOOP__50,MPC_1010795,HV,0,0.13483111261696432
NOOP__50,MPC_1010796,HV,0,0.4461799069538981
NOOP__50,MPC_1019125,HV,0,0.22706758152094778
NOOP__50,MPC_1040614,HV,0,0.1726557807722105
NOOP__50,MPC_1027657,HV,0,0.2911326780134473
NOOP__50,MPC_1003690,HV,0,0.40011806508213776
NOOP__50,MPC_1003691,HV,0,0.08305943847090523
NOOP__50,MPC_1013019,HV,0,0.2844186083037375
NOOP__50,MPC_1003692,HV,0,0.3532337332966502
NOOP__50,MPC_1003693,HV,0,0.1367171400718897
NOOP__50,MPC_1002362,HV,0,0.2799363750213801
NOOP__50,MPC_1001031,HV,0,0.0
NOOP__50,MPC_1002361,HV,0,0.005856607033380526
NOOP__50,MPC_1001030,HV,0,0.0
NOOP__50,MPC_1002360,HV,0,0.05215826660893093
NOOP__50,MPC_1015673,HV,0,0.23333666676961248
NOOP__50,MPC_1015678,HV,0,0.23616900809253022
NOOP__50,MPC_1022771,HV,0,0.11866123237807495
NOOP__50,MPC_1013010,HV,0,0.12785582638638665
NOOP__50,MPC_1002366,HV,0,0.0
NOOP__50,MPC_1001035,HV,0,0.07749950011046226
NOOP__50,MPC_1003698,HV,0,0.2272875616045476
NOOP__50,MPC_1001034,HV,0,0.06574205606898803
NOOP__50,MPC_1003699,HV,0,0.0
NOOP__50,MPC_1001033,HV,0,0.0
NOOP__50,MPC_1002363,HV,0,0.09538706864792863
NOOP__50,MPC_1001032,HV,0,0.0
NOOP__50,MPC_1001039,HV,0,0.31218651001824316
NOOP__50,MPC_1003694,HV,0,0.21640954838346443
NOOP__50,MPC_1020117,HV,0,0.26270358287917395
NOOP__50,MPC_1002369,HV,0,0.004654039326935207
NOOP__50,MPC_1001038,HV,0,0.24594320555695812
NOOP__50,MPC_1003695,HV,0,0.25045400146316765
NOOP__50,MPC_1001037,HV,0,0.12788560847618263
NOOP__50,MPC_1003696,HV,0,0.12805982325679222
NOOP__50,MPC_1001036,HV,0,0.16580256562960413
NOOP__50,MPC_1003697,HV,0,0.05211726998990706
NOOP__50,MPC_1032100,HV,0,0.19427072584257896
NOOP__50,MPC_1003680,HV,0,0.1553700517352302
NOOP__50,MPC_1003681,HV,0,0.23861072389016694
