Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
NOOP__50,MPC_1045862,HV,0,0.22005745814976255
NOOP__50,MPC_1045862,HV,1,0.24319441963775712
NOOP__50,MPC_1045862,HV,2,0.17288708690950505
NOOP__50,MPC_1005583,HV,0,0.011710023596013572
NOOP__50,MPC_1005583,HV,1,0.007866931107521824
NOOP__50,MPC_1005583,HV,2,0.013742551817717961
NOOP__50,MPC_1046202,HV,0,0.5769254319136751
NOOP__50,MPC_1046202,HV,1,0.5665019688749199
NOOP__50,MPC_1046202,HV,2,0.5844048483718568
NOOP__50,MPC_1046653,HV,0,0.6256880169727039
NOOP__50,MPC_1046653,HV,1,0.6304578918093596
NOOP__50,MPC_1046653,HV,2,0.6486916196636616
NOOP__50,MPC_1001485,HV,0,0.40840372351495036
NOOP__50,MPC_1001485,HV,1,0.39633120346728895
NOOP__50,MPC_1001485,HV,2,0.3894199014885011
NOOP__50,MPC_1042576,HV,0,0.8374841173525472
NOOP__50,MPC_1042576,HV,1,0.8175923031617817
NOOP__50,MPC_1042576,HV,2,0.840190383915872
NSGAII__100__25000__0_85__0_005,MPC_1045862,HV,0,0.47834805681605375
NSGAII__100__25000__0_85__0_005,MPC_1045862,HV,1,0.48030283499849424
NSGAII__100__25000__0_85__0_005,MPC_1045862,HV,2,0.4615809889210069
NSGAII__100__25000__0_85__0_005,MPC_1005583,HV,0,0.11206366811252
NSGAII__100__25000__0_85__0_005,MPC_1005583,HV,1,0.12252553378692142
NSGAII__100__25000__0_85__0_005,MPC_1005583,HV,2,0.11701169379906874
NSGAII__100__25000__0_85__0_005,MPC_1046202,HV,0,0.7240277046372029
NSGAII__100__25000__0_85__0_005,MPC_1046202,HV,1,0.7257851777855222
NSGAII__100__25000__0_85__0_005,MPC_1046202,HV,2,0.7303241626142123
NSGAII__100__25000__0_85__0_005,MPC_1046653,HV,0,0.8263607626560093
NSGAII__100__25000__0_85__0_005,MPC_1046653,HV,1,0.8264078669480014
NSGAII__100__25000__0_85__0_005,MPC_1046653,HV,2,0.8184666696500811
NSGAII__100__25000__0_85__0_005,MPC_1001485,HV,0,0.681154672760857
NSGAII__100__25000__0_85__0_005,MPC_1001485,HV,1,0.6712276166400032
NSGAII__100__25000__0_85__0_005,MPC_1001485,HV,2,0.6769209760317645
NSGAII__100__25000__0_85__0_005,MPC_1042576,HV,0,0.9542481277501471
NSGAII__100__25000__0_85__0_005,MPC_1042576,HV,1,0.9648710297831875
NSGAII__100__25000__0_85__0_005,MPC_1042576,HV,2,0.9661708525179808
NSGAII__100__25000__0_85__0_01,MPC_1045862,HV,0,0.4410077885418751
NSGAII__100__25000__0_85__0_01,MPC_1045862,HV,1,0.4798834327273338
NSGAII__100__25000__0_85__0_01,MPC_1045862,HV,2,0.4970158797423677
NSGAII__100__25000__0_85__0_01,MPC_1005583,HV,0,0.11630160280868598
NSGAII__100__25000__0_85__0_01,MPC_1005583,HV,1,0.11422169665675841
NSGAII__100__25000__0_85__0_01,MPC_1005583,HV,2,0.11215254030281976
NSGAII__100__25000__0_85__0_01,MPC_1046202,HV,0,0.7440020062802185
NSGAII__100__25000__0_85__0_01,MPC_1046202,HV,1,0.7222767740633854
NSGAII__100__25000__0_85__0_01,MPC_1046202,HV,2,0.7201548876918071
NSGAII__100__25000__0_85__0_01,MPC_1046653,HV,0,0.8392999406720871
NSGAII__100__25000__0_85__0_01,MPC_1046653,HV,1,0.8159781661230225
NSGAII__100__25000__0_85__0_01,MPC_1046653,HV,2,0.8184479318646617
NSGAII__100__25000__0_85__0_01,MPC_1001485,HV,0,0.6884898118075974
NSGAII__100__25000__0_85__0_01,MPC_1001485,HV,1,0.70276086573267
NSGAII__100__25000__0_85__0_01,MPC_1001485,HV,2,0.7100258926825032
NSGAII__100__25000__0_85__0_01,MPC_1042576,HV,0,0.9623560980897053
NSGAII__100__25000__0_85__0_01,MPC_1042576,HV,1,0.9592068525249281
NSGAII__100__25000__0_85__0_01,MPC_1042576,HV,2,0.9612672692460942
NSGAII__100__25000__0_85__0_015,MPC_1045862,HV,0,0.4840023118200216
NSGAII__100__25000__0_85__0_015,MPC_1045862,HV,1,0.4652011828440592
NSGAII__100__25000__0_85__0_015,MPC_1045862,HV,2,0.4904923092361774
NSGAII__100__25000__0_85__0_015,MPC_1005583,HV,0,0.11649183950846272
NSGAII__100__25000__0_85__0_015,MPC_1005583,HV,1,0.09505730956772908
NSGAII__100__25000__0_85__0_015,MPC_1005583,HV,2,0.11208652861738863
NSGAII__100__25000__0_85__0_015,MPC_1046202,HV,0,0.7353074842811136
NSGAII__100__25000__0_85__0_015,MPC_1046202,HV,1,0.7419726568141055
NSGAII__100__25000__0_85__0_015,MPC_1046202,HV,2,0.7254271315694452
NSGAII__100__25000__0_85__0_015,MPC_1046653,HV,0,0.8395879469873063
NSGAII__100__25000__0_85__0_015,MPC_1046653,HV,1,0.8214041560400506
NSGAII__100__25000__0_85__0_015,MPC_1046653,HV,2,0.8301667694070844
NSGAII__100__25000__0_85__0_015,MPC_1001485,HV,0,0.7142356706114836
NSGAII__100__25000__0_85__0_015,MPC_1001485,HV,1,0.6821688605405349
NSGAII__100__25000__0_85__0_015,MPC_1001485,HV,2,0.6790957704998546
NSGAII__100__25000__0_85__0_015,MPC_1042576,HV,0,0.9543510288765624
NSGAII__100__25000__0_85__0_015,MPC_1042576,HV,1,0.9656699203495998
NSGAII__100__25000__0_85__0_015,MPC_1042576,HV,2,0.9567326675333293
NSGAII__100__25000__0_9__0_005,MPC_1045862,HV,0,0.45895167699150813
NSGAII__100__25000__0_9__0_005,MPC_1045862,HV,1,0.4904812472941352
NSGAII__100__25000__0_9__0_005,MPC_1045862,HV,2,0.4693150862165616
NSGAII__100__25000__0_9__0_005,MPC_1005583,HV,0,0.11325360979699044
NSGAII__100__25000__0_9__0_005,MPC_1005583,HV,1,0.11925020200919426
NSGAII__100__25000__0_9__0_005,MPC_1005583,HV,2,0.11250676507960497
NSGAII__100__25000__0_9__0_005,MPC_1046202,HV,0,0.7328951209764754
NSGAII__100__25000__0_9__0_005,MPC_1046202,HV,1,0.7413837446474508
NSGAII__100__25000__0_9__0_005,MPC_1046202,HV,2,0.7319732168598947
NSGAII__100__25000__0_9__0_005,MPC_1046653,HV,0,0.8288076127529289
NSGAII__100__25000__0_9__0_005,MPC_1046653,HV,1,0.8123675139134885
NSGAII__100__25000__0_9__0_005,MPC_1046653,HV,2,0.8320462779880412
